AMOSTRAGEM 0
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.42700004578
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.47300004959
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.35299992561
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.33200001717
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.41000008583
Origem - Destino ['98S14', '42S52']
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.26600003242
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.13899993896
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.11100006104
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.0759999752
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.00099992752
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.08100008965
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.11599993706
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.15499997139
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.10799980164
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.30500006676
Origem - Destino ['47S12', '279S12']
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.58200001717
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.58500003815
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.63100004196
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.61199998856
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.44799995422
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.41700005531
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.44099998474
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.44400000572
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.79799985886
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.70000004768
Origem - Destino ['250S16', '228S9']
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.62300014496
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.44199991226
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.43799996376
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.66800022125
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.90299987793
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.62199997902
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.59400010109
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.68700003624
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.47099995613
