shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
155SH,19.34393519099832,-99.15882883265955,4009
155SH,19.34377576358013,-99.15735871396532,4010
155SH,19.343758788145838,-99.15720824164404,4011
155SH,19.342900350945463,-99.15104499303179,4012
155SH,19.342894012537677,-99.15100183541419,4013
155SH,19.342804028116813,-99.15046347231612,4014
155SH,19.342762336475637,-99.14950182349878,4015
155SH,19.342346722638883,-99.14711282428723,4016
155SH,19.34151835644098,-99.14066427163637,4017
155SH,19.341467971595577,-99.14030077511956,4018
155SH,19.34133939072864,-99.13929365486459,4019
155SH,19.34171111534956,-99.14109650611277,4020
155SH,19.34235929125773,-99.14275314534495,4021
155SH,19.343689614497613,-99.14115031643122,4022
156SH,19.297482735896114,-99.14957811507342,4023
156SH,19.299742687358876,-99.14889824261323,4024
156SH,19.303927787134544,-99.14515994136211,4025
156SH,19.304674067093607,-99.1451504615622,4026
156SH,19.297864909968897,-99.15234147230998,4027
156SH,19.297745427901244,-99.15286177968613,4028
156SH,19.297320431281037,-99.1547901078536,4029
156SH,19.2972385,-99.155158,4030
156SH,19.3032948,-99.1592965,4031
156SH,19.30853172681115,-99.16344636789877,4032
156SH,19.31137493897691,-99.16244070747223,4033
156SH,19.312995021335436,-99.16276291965897,4034
156SH,19.315526279429964,-99.1605772564191,4035
156SH,19.318309248020327,-99.15960272445378,4036
156SH,19.323805706923714,-99.15682874378133,4037
156SH,19.327292999999997,-99.14820569999999,4038
156SH,19.329141361366432,-99.14761153994374,4039
156SH,19.33118086261002,-99.1441145674786,4040
156SH,19.34230645226868,-99.15475311084867,4041
156SH,19.344133626864146,-99.15908178433618,4042
156SH,19.350680595323375,-99.16271771393545,4043
156SH,19.352049500000003,-99.1628283,4044
156SH,19.3563776285199,-99.16882260450569,4045
156SH,19.358219058198728,-99.16992391385587,4046
156SH,19.367692366353538,-99.16665596798914,4047
156SH,19.368179814529917,-99.16635988413725,4048
156SH,19.369645548309634,-99.16540918881847,4049
156SH,19.37243275395328,-99.16363041601672,4050
156SH,19.372407,-99.1632999,4051
157SH,19.48305469953348,-99.11595595019993,4052
157SH,19.48249224075593,-99.11436624012937,4053
157SH,19.481629997787426,-99.11259693246717,4054
157SH,19.479447378482153,-99.10876178010137,4055
157SH,19.479439061072306,-99.10874781542839,4056
157SH,19.47237985232866,-99.10504198924423,4057
157SH,19.467586494377038,-99.09610185618668,4058
157SH,19.450557453716456,-99.09222140472511,4059
157SH,19.44571344008525,-99.08731630363047,4060
157SH,19.443229069188476,-99.0861858702128,4061
157SH,19.429550562646483,-99.09115160100423,4062
157SH,19.42637112951206,-99.09339538282651,4063
157SH,19.42685664836469,-99.09345468232863,4064
157SH,19.426662040849354,-99.09222725829878,4065
157SH,19.426329766217638,-99.09164307843382,4066
157SH,19.425593577093473,-99.09039950739847,4067
157SH,19.42556261725986,-99.09035542215913,4068
157SH,19.42428985651902,-99.08824064967543,4069
157SH,19.424034219609787,-99.08776285605617,4070
157SH,19.423330009679145,-99.08651410786626,4071
